product_id,category,product_title,brand,model,features,price,rating,review_count,image_url,is_accessory,combined_features
B0B82D4RWY,Basic Cases,"SUPCASE for iPhone 14 Pro Max Case (Unicorn Beetle Mag), [Compatible with MagSafe] [Military-Grade Protection] Protective Slim Clear Magnetic Shockproof Phone Case for iPhone 14 Pro Max, Mauve",SUPCASE,iPhone 14 Pro Max,"['Hard PC back + shock-absorbent TPU bumper provides your iPhone 14 Pro Max effective protection.', 'Back cover is transparent and is extremely scratch-resistant.', 'Elevated bezels help ensure touchscreen and camera lens avoid scratches when placed facedown.', 'Easily access all of your smartphone features, functions and ports thanks to the precise design of case cutouts.', 'Compatible with iPhone 14 Pro Max 6.7 Inch (2022 Release) ONLY. Compatible with MagSafe and Most Other Wireless Chargers.']",1657.94,4.5,11194,https://m.media-amazon.com/images/I/61oJXeZL+VL._AC_SY300_SX300_.jpg,True,"Basic Cases SUPCASE iPhone 14 Pro Max ['Hard PC back + shock-absorbent TPU bumper provides your iPhone 14 Pro Max effective protection.', 'Back cover is transparent and is extremely scratch-resistant.', 'Elevated bezels help ensure touchscreen and camera lens avoid scratches when placed facedown.', 'Easily access all of your smartphone features, functions and ports thanks to the precise design of case cutouts.', 'Compatible with iPhone 14 Pro Max 6.7 Inch (2022 Release) ONLY. Compatible with MagSafe and Most Other Wireless Chargers.']"
B09DQ9CPLR,Basic Cases,"Incipio Organicore Series Smartphone Case for 6.7-Inch iPhone 13 Pro Max, Natural Beige",Incipio,iPhone 13 Pro Max,"['Compatible with 6.7-Inch iPhone 13 Pro Max', 'Textured grips inspired by natural patterns\u200b', 'Raised-edge bezel protects screen', 'Works with wireless and MagSafe charging', 'Protection from drops up to 8 feet']",698.08,3.4,9,https://m.media-amazon.com/images/I/41ghu7d-kGL.__AC_SX300_SY300_QL70_ML2_.jpg,True,"Basic Cases Incipio iPhone 13 Pro Max ['Compatible with 6.7-Inch iPhone 13 Pro Max', 'Textured grips inspired by natural patterns\u200b', 'Raised-edge bezel protects screen', 'Works with wireless and MagSafe charging', 'Protection from drops up to 8 feet']"
B075654C3P,Basic Cases,"SUPCASE Unicorn Beetle Pro Series Case Designed for iPhone SE 3 (2022) / iPhone SE 2 (2020) / iPhone 7 / 8, Full-Body Rugged Holster Case with Built-In Screen Protector (Black)",SUPCASE,"iPhone 7, 8, SE (2020 & 2022)","['Compatible with Apple iPhone SE 3rd generation (2022)/iPhone SE 2nd generation (2020)/iPhone 7 (2016) /iPhone 8 (2017). NOT compatible with iPhone 7 Plus/8 Plus', 'Dual-layer case made with a polycarbonate shell and TPU core absorbs shock and deflects blows with ease', ""Built-in screen protector deflects any would-be scratches or cracks on your device's screen"", 'Detachable belt holster brings added versatility and easy-to-access convenience', 'Minimal bulk added to phone; multiple color options']",1657.94,4.7,3437,https://m.media-amazon.com/images/I/81le3WTW2dL.__AC_SX300_SY300_QL70_ML2_.jpg,True,"Basic Cases SUPCASE iPhone 7, 8, SE (2020 & 2022) ['Compatible with Apple iPhone SE 3rd generation (2022)/iPhone SE 2nd generation (2020)/iPhone 7 (2016) /iPhone 8 (2017). NOT compatible with iPhone 7 Plus/8 Plus', 'Dual-layer case made with a polycarbonate shell and TPU core absorbs shock and deflects blows with ease', ""Built-in screen protector deflects any would-be scratches or cracks on your device's screen"", 'Detachable belt holster brings added versatility and easy-to-access convenience', 'Minimal bulk added to phone; multiple color options']"
B0DFPHK9V4,Basic Cases,CASETiFY Clear iPhone 15 Pro Case [Friends Co-Lab/Not Yellowing/Compatible with Magsafe] - Sticker - Clear,CASETiFY,iPhone 15 Pro,"['Compatible with iPhone 15 Pro only (6.1"" Screen Size)', ""Made from CASETiFY's innovative, shock-resistant qâˆšÂ¨tech material, this iPhone case comes equipped with an impact-absorbing inner layer, protecting phones from up to 6.30ft drops."", '49%+ Lifted Specially Designed Camera Ring Keeps Your Lens Safe; Enhanced corners with added qitech = ultimate protection', 'Compatible with Magsafe; Compatible with Wireless Chargers', 'Stay clear to prevent yellowing']",5584.64,4.5,2,https://m.media-amazon.com/images/I/61MJU-uwKHL.__AC_SX300_SY300_QL70_ML2_.jpg,True,"Basic Cases CASETiFY iPhone 15 Pro ['Compatible with iPhone 15 Pro only (6.1"" Screen Size)', ""Made from CASETiFY's innovative, shock-resistant qâˆšÂ¨tech material, this iPhone case comes equipped with an impact-absorbing inner layer, protecting phones from up to 6.30ft drops."", '49%+ Lifted Specially Designed Camera Ring Keeps Your Lens Safe; Enhanced corners with added qitech = ultimate protection', 'Compatible with Magsafe; Compatible with Wireless Chargers', 'Stay clear to prevent yellowing']"
B0CBYTHWDB,Basic Cases,"OtterBox Defender XT Case for iPhone 15 Pro Max with MagSafe, Shockproof, Drop Proof, Ultra-Rugged, Protective Case, 5X Tested to Military Standard, Clear/Black",OtterBox,iPhone 15 Pro Max,"['OtterBox Defender XT Series for iPhone 15 Pro Max case undergoes thousands of hours of drop testing to ensure your smartphone gets the utmost protection. Defender XT Series has rugged drop protection with 5 times as many drops as military standard (MIL-STD-810G 516.6).', ""The multi-layer construction guards your device against serious drops, dirt, scrapes and bumps. While its raised edges protect your smartphone's camera and screen from serious drops and scrapes."", 'The Defender XT case guarantees MagSafe compatibility thanks to built in magnets perfectly aligned to make wireless charging faster and easier than ever before. Seamlessly attach and remove MagSafe accessories through built in magnets.', 'OtterBox Defender XT case includes includes port covers that block dust, dirt and debris from getting into jacks and ports and has a lanyard attachment built into the case for easy carrying.', 'Made from 50% recycled plastic, OtterBox Defender XT Series is a thin case with secure grip that provides flawless and rugged protection from scratches and cracks.', 'Pair your case with a scratch resistant and durable OtterBox screen protector for total, 360-degree protection.', 'Compatible with iPhone 15 Pro Max', 'Reduced Waste Packaging: At OtterBox weâ€™ve taken concrete steps to reduce our impact, thatâ€™s why we made our retail packaging from sustainable materials that are fully recyclable and use nearly no plastic.']",3490.4,4.4,269,https://m.media-amazon.com/images/I/71K9e3hcINL.__AC_SX300_SY300_QL70_ML2_.jpg,True,"Basic Cases OtterBox iPhone 15 Pro Max ['OtterBox Defender XT Series for iPhone 15 Pro Max case undergoes thousands of hours of drop testing to ensure your smartphone gets the utmost protection. Defender XT Series has rugged drop protection with 5 times as many drops as military standard (MIL-STD-810G 516.6).', ""The multi-layer construction guards your device against serious drops, dirt, scrapes and bumps. While its raised edges protect your smartphone's camera and screen from serious drops and scrapes."", 'The Defender XT case guarantees MagSafe compatibility thanks to built in magnets perfectly aligned to make wireless charging faster and easier than ever before. Seamlessly attach and remove MagSafe accessories through built in magnets.', 'OtterBox Defender XT case includes includes port covers that block dust, dirt and debris from getting into jacks and ports and has a lanyard attachment built into the case for easy carrying.', 'Made from 50% recycled plastic, OtterBox Defender XT Series is a thin case with secure grip that provides flawless and rugged protection from scratches and cracks.', 'Pair your case with a scratch resistant and durable OtterBox screen protector for total, 360-degree protection.', 'Compatible with iPhone 15 Pro Max', 'Reduced Waste Packaging: At OtterBox weâ€™ve taken concrete steps to reduce our impact, thatâ€™s why we made our retail packaging from sustainable materials that are fully recyclable and use nearly no plastic.']"
B099X34Z1X,Basic Cases,Amazon Basics Clear Soft TPU Smartphone Cover for iPhone 13 Pro,Amazon Basics,iPhone 13 Pro,"['Constructed from ultra thin, smooth, high-quality, tough and flexible TPU that resists dirt and stains', 'Shock absorbent and scratch resistant gel protects against bumps and scratches', 'Full access to user interface, camera lens, headphone jack, speakerphone and microphone; allows charging without removing the case', 'Dotted Texture Interior design maintains the phones form and color by preventing air bubbles from forming at the back of your iPhone', 'Designed for iPhone 13 Pro']",785.34,4.4,2214,https://m.media-amazon.com/images/I/61WW5Vf0k5L.__AC_SX300_SY300_QL70_ML2_.jpg,True,"Basic Cases Amazon Basics iPhone 13 Pro ['Constructed from ultra thin, smooth, high-quality, tough and flexible TPU that resists dirt and stains', 'Shock absorbent and scratch resistant gel protects against bumps and scratches', 'Full access to user interface, camera lens, headphone jack, speakerphone and microphone; allows charging without removing the case', 'Dotted Texture Interior design maintains the phones form and color by preventing air bubbles from forming at the back of your iPhone', 'Designed for iPhone 13 Pro']"
B0DKZSZVF4,Basic Cases,"Ringke Macaron Silicone Magnetic [Compatible with MagSafe] Designed for iPhone 16 Pro Case, Soft Durable Liquid Silicone Shockproof Cover with Anti-Scratch Microfiber Lining - White",Ringke,iPhone 16 Pro,"['Adorable soft serve swirl design case', 'Liquid silicone exterior with microfiber suede lining', 'Excellent grip and customized for a flawless fit', 'Built-in strap hole to attach wrist straps and other accessories', 'Compatible with MagSafe chargers and accessories']",2268.76,4.7,36,https://m.media-amazon.com/images/I/614YDZtj9tL.__AC_SX300_SY300_QL70_ML2_.jpg,True,"Basic Cases Ringke iPhone 16 Pro ['Adorable soft serve swirl design case', 'Liquid silicone exterior with microfiber suede lining', 'Excellent grip and customized for a flawless fit', 'Built-in strap hole to attach wrist straps and other accessories', 'Compatible with MagSafe chargers and accessories']"
B0DNYN4926,Basic Cases,CASETiFY Impact Case for iPhone 15 Pro Max [RipNDip Colab / 4X Military Grade Drop Tested / 8.2ft Drop Protection/Compatible with Magsafe] - Lord Alien - Clear Black,CASETiFY,iPhone 15 Pro Max,"['Compatible withiPhone 15 Pro Max Only (6.7 Screen Size)', '8.2 ft. drop protection (4x MIL-STD-810G)', 'EcoShock material', 'Side sockets for easy charm attachment', 'Wireless charging and MagSafe compatible']",5584.64,4.33540856,0,https://m.media-amazon.com/images/I/51jmCl+0ffL._AC_SY300_SX300_.jpg,True,"Basic Cases CASETiFY iPhone 15 Pro Max ['Compatible withiPhone 15 Pro Max Only (6.7 Screen Size)', '8.2 ft. drop protection (4x MIL-STD-810G)', 'EcoShock material', 'Side sockets for easy charm attachment', 'Wireless charging and MagSafe compatible']"
B097RS66DB,Basic Cases,"LifeProof Fre Case for iPhone 13 Pro, Waterproof (IP68), Shockproof, Dirtproof, Drop Proof to 2 Meters, Sleek and Slim Protective Case with Built in Screen Protector, Black",LifeProof,Iphone,"['The thin and compact FRE Series case for iPhone 13 Pro protect your smartphone from Water (IP-68 tested), Drop, Dirt and Snow; WaterProof (IP-68) means up to 2 meters and up to one hour protection against all sort of liquids', 'Life Proof Free installs easily and is precision designed for your phone with great grip; It also works with Appleâ€™s Mag-Safe charger and Qi Wireless charging', 'The LifeProof FRÄ’ for iPhone 13 Pro case is sealed from dirt, dust and has a built-in screen cover for 360 degree protection; To avoid compromising the full functionality of the case we recommend to not pair it with an additional screen protector', 'Made from 60 percent recycled plastic (35 percent ocean-based recycled plastic, 25 percent recycled plastic), LifeProof FRE Series is thin, light, incredibly compact yet impressively tough and provides rugged protection from scratches and cracks', 'Compatible with iPhone 13 Pro']",4101.22,4.0,138,https://m.media-amazon.com/images/I/41lw3Jw-kYL.__AC_SX300_SY300_QL70_ML2_.jpg,True,"Basic Cases LifeProof Iphone ['The thin and compact FRE Series case for iPhone 13 Pro protect your smartphone from Water (IP-68 tested), Drop, Dirt and Snow; WaterProof (IP-68) means up to 2 meters and up to one hour protection against all sort of liquids', 'Life Proof Free installs easily and is precision designed for your phone with great grip; It also works with Appleâ€™s Mag-Safe charger and Qi Wireless charging', 'The LifeProof FRÄ’ for iPhone 13 Pro case is sealed from dirt, dust and has a built-in screen cover for 360 degree protection; To avoid compromising the full functionality of the case we recommend to not pair it with an additional screen protector', 'Made from 60 percent recycled plastic (35 percent ocean-based recycled plastic, 25 percent recycled plastic), LifeProof FRE Series is thin, light, incredibly compact yet impressively tough and provides rugged protection from scratches and cracks', 'Compatible with iPhone 13 Pro']"
B07FPD4QTL,Basic Cases,"SUPCASE [Unicorn Beetle Style Series] Case Designed for iPhone XR ,Premium Hybrid Protective Clear Case for Apple iPhone XR 6.1 inch 2018 Release (Pink)",SUPCASE,iPhone XR 6.1 inch (2018 Release),"['Constructed of high-grade polycarbonate and TPU materials that combine for a minimalist approach to sturdy drop defense', 'Transparent back cover offers invisible scratch-resistance', 'Edges ensure phone screen and camera lenses are recessed and protected against contact with surfaces', 'Slim design features precise cutouts to ensure the case doesnâ€™t hinder your phoneâ€™s functions or buttons', 'Compatible with iPhone XR (2018 Release) ONLY. Not for iPhone X/XS/XS Max. We stand by a one-year limited and friendly customer service.']",1221.64,4.5,1816,https://m.media-amazon.com/images/I/61znN88eI7L.__AC_SX300_SY300_QL70_ML2_.jpg,True,"Basic Cases SUPCASE iPhone XR 6.1 inch (2018 Release) ['Constructed of high-grade polycarbonate and TPU materials that combine for a minimalist approach to sturdy drop defense', 'Transparent back cover offers invisible scratch-resistance', 'Edges ensure phone screen and camera lenses are recessed and protected against contact with surfaces', 'Slim design features precise cutouts to ensure the case doesnâ€™t hinder your phoneâ€™s functions or buttons', 'Compatible with iPhone XR (2018 Release) ONLY. Not for iPhone X/XS/XS Max. We stand by a one-year limited and friendly customer service.']"
